cusip6,cik,name,cusip,form10KUrls,CIK
23135,1018724,'AMAZON",023135106,data/form10k-sample\0001018724-23-000004.pdf,1018724
67066G,1045810,"NVIDIA Corporation",067066G104,data/form10k-sample\0001045810-23-000017.pdf,1045810
3783,1490054,'APPLE INC',003783310,data/form10k-sample\0001096906-23-001489.pdf,1490054
70450Y,1633917,'PAYPAL',0001633917,data/form10k-sample\0001633917-23-000033.pdf,1633917
37833,320193,'APPLE INC',037833950,data/form10k-sample\0000320193-23-000106.pdf,320193
458140,50863,'INTEL CORP',0458140950,data/form10k-sample\000050863-23-000006.pdf,50863
26874,5272,"American Intl Group",026874784,data/form10k-sample\00005272-23-000007.pdf,5272
69331C,75488,"PG&E CORP",069331C908,data/form10k-sample\0001004980-23-000029.pdf,75488
580135,63908,"MCDONALDS CORP",0580135101,data/form10k-sample\000063908-23-000012.pdf,63908
594918,789019,"MICROSOFT CORP",0594918954,data/form10k-sample\0000950170-23-035122.pdf,789019
